thread,calc_amount,time
1,4,0.015626907348632812
2,4,0.03125119209289551
3,4,0.04687857627868652
4,4,0.06250476837158203
5,4,0.07813096046447754
6,4,0.14063596725463867
7,4,0.12500977516174316
8,4,0.12542271614074707
9,4,0.14064240455627441
10,4,0.15625691413879395
11,4,0.17188143730163574
12,4,0.1875147819519043
13,4,0.20314669609069824
14,4,0.21876215934753418
15,4,0.26564955711364746
16,4,0.31251978874206543
1,5,0.031284332275390625
2,5,0.04684758186340332
3,5,0.04688286781311035
4,5,0.0624995231628418
5,5,0.09376788139343262
6,5,0.09374690055847168
7,5,0.10938382148742676
8,5,0.14063692092895508
9,5,0.15626192092895508
10,5,0.15626049041748047
11,5,0.1875145435333252
12,5,0.2187671661376953
13,5,0.25002312660217285
14,5,0.2344353199005127
15,5,0.2656064033508301
16,5,0.2656385898590088
1,6,0.03125643730163574
2,6,0.046875953674316406
3,6,0.06262016296386719
4,6,0.07801604270935059
5,6,0.07812952995300293
6,6,0.10938501358032227
7,6,0.140639066696167
8,6,0.14063119888305664
9,6,0.156266450881958
10,6,0.1719505786895752
11,6,0.18745017051696777
12,6,0.23439717292785645
13,6,0.234389066696167
14,6,0.2656517028808594
15,6,0.2656435966491699
16,6,0.2808682918548584
1,7,0.031252145767211914
2,7,0.03125262260437012
3,7,0.04687857627868652
4,7,0.09375739097595215
5,7,0.07813119888305664
6,7,0.14063572883605957
7,7,0.14063596725463867
8,7,0.1718888282775879
9,7,0.15626192092895508
10,7,0.15626192092895508
11,7,0.1875145435333252
12,7,0.25041890144348145
13,7,0.21876955032348633
14,7,0.2656426429748535
15,7,0.2813396453857422
16,7,0.265578031539917
1,8,0.01562643051147461
2,8,0.04688072204589844
3,8,0.06250572204589844
4,8,0.06250190734863281
5,8,0.09376287460327148
6,8,0.10937881469726562
7,8,0.1250138282775879
8,8,0.14063739776611328
9,8,0.15625977516174316
10,8,0.15625858306884766
11,8,0.18759989738464355
12,8,0.21868085861206055
13,8,0.23439359664916992
14,8,0.26564908027648926
15,8,0.2500157356262207
16,8,0.2812807559967041
1,9,0.031243562698364258
2,9,0.04688096046447754
3,9,0.06250286102294922
4,9,0.07813215255737305
5,9,0.09375596046447754
6,9,0.12500905990600586
7,9,0.1406407356262207
8,9,0.12500524520874023
9,9,0.14063549041748047
10,9,0.1718895435333252
11,9,0.18751907348632812
12,9,0.21879887580871582
13,9,0.21873736381530762
14,9,0.2500166893005371
15,9,0.2500159740447998
16,9,0.31252455711364746
1,10,0.01571345329284668
2,10,0.031164884567260742
3,10,0.046479225158691406
4,10,0.06290650367736816
5,10,0.07772994041442871
6,10,0.12540841102600098
7,10,0.12501025199890137
8,10,0.15632224082946777
9,10,0.15620183944702148
10,10,0.15626883506774902
11,10,0.1875302791595459
12,10,0.20312190055847168
13,10,0.2031416893005371
14,10,0.21876239776611328
15,10,0.25002598762512207
16,10,0.2656400203704834
1,11,0.015631675720214844
2,11,0.04687309265136719
3,11,0.04687976837158203
4,11,0.07813477516174316
5,11,0.09380507469177246
6,11,0.0937032699584961
7,11,0.10938715934753418
8,11,0.14063239097595215
9,11,0.17189431190490723
10,11,0.15625691413879395
11,11,0.18752002716064453
12,11,0.20313572883605957
13,11,0.20314955711364746
14,11,0.23438286781311035
15,11,0.23439502716064453
16,11,0.2500178813934326
1,12,0.03125309944152832
2,12,0.046881914138793945
3,12,0.06250214576721191
4,12,0.06250452995300293
5,12,0.07813310623168945
6,12,0.10938501358032227
7,12,0.10938048362731934
8,12,0.14063644409179688
9,12,0.15626263618469238
10,12,0.18761086463928223
11,12,0.17179083824157715
12,12,0.1875150203704834
13,12,0.20314335823059082
14,12,0.2500174045562744
15,12,0.26564502716064453
16,12,0.26564550399780273
1,13,0.015625953674316406
2,13,0.03125262260437012
3,13,0.04687952995300293
4,13,0.06251025199890137
5,13,0.09375309944152832
6,13,0.09375572204589844
7,13,0.1406397819519043
8,13,0.14063143730163574
9,13,0.1406416893005371
10,13,0.17188310623168945
11,13,0.18752241134643555
12,13,0.20319032669067383
13,13,0.23433637619018555
14,13,0.2500183582305908
15,13,0.23439645767211914
16,13,0.2656433582305908
1,14,0.03125190734863281
2,14,0.04688215255737305
3,14,0.046875953674316406
4,14,0.06210470199584961
5,14,0.09415602684020996
6,14,0.10898470878601074
7,14,0.14103913307189941
8,14,0.14063334465026855
9,14,0.15626215934753418
10,14,0.17188763618469238
11,14,0.2187666893005371
12,14,0.2031397819519043
13,14,0.23439407348632812
14,14,0.23439359664916992
15,14,0.2812769412994385
16,14,0.2656395435333252
1,15,0.03125309944152832
2,15,0.031252145767211914
3,15,0.06250429153442383
4,15,0.07813811302185059
5,15,0.09381604194641113
6,15,0.10932493209838867
7,15,0.12500405311584473
8,15,0.1406700611114502
9,15,0.14060688018798828
10,15,0.1718883514404297
11,15,0.1875152587890625
12,15,0.20313429832458496
13,15,0.218855619430542
14,15,0.23430490493774414
15,15,0.23439478874206543
16,15,0.28131103515625
1,16,0.03121161460876465
2,16,0.03125286102294922
3,16,0.04687833786010742
4,16,0.06250953674316406
5,16,0.09375500679016113
6,16,0.09375429153442383
7,16,0.10938549041748047
8,16,0.1562788486480713
9,16,0.15624284744262695
10,16,0.1718919277191162
11,16,0.18751215934753418
12,16,0.1875154972076416
13,16,0.2031400203704834
14,16,0.2187671661376953
15,16,0.2656521797180176
16,16,0.28129029273986816
1,17,0.031229496002197266
2,17,0.031255245208740234
3,17,0.06252002716064453
4,17,0.0624847412109375
5,17,0.09375739097595215
6,17,0.09375715255737305
7,17,0.12500977516174316
8,17,0.14063572883605957
9,17,0.15634727478027344
10,17,0.18743610382080078
11,17,0.53128981590271
12,17,0.21876215934753418
13,17,0.23439574241638184
14,17,0.2343904972076416
15,17,0.25001955032348633
16,17,0.28127336502075195
1,18,0.015630006790161133
2,18,0.031247615814208984
3,18,0.0625922679901123
4,18,0.07764434814453125
5,18,0.12540936470031738
6,18,0.09375905990600586
7,18,0.1406383514404297
8,18,0.14063692092895508
9,18,0.14063525199890137
10,18,0.17188262939453125
11,18,0.18751883506774902
12,18,0.2187645435333252
13,18,0.21877074241638184
14,18,0.2343904972076416
15,18,0.2500166893005371
16,18,0.2812788486480713
1,19,0.031246662139892578
2,19,0.04687690734863281
3,19,0.04687905311584473
4,19,0.06250953674316406
5,19,0.09375262260437012
6,19,0.10942435264587402
7,19,0.1093435287475586
8,19,0.1406536102294922
9,19,0.15624451637268066
10,19,0.15626192092895508
11,19,0.17188811302185059
12,19,0.21877121925354004
13,19,0.2656397819519043
14,19,0.2969026565551758
15,19,0.35940074920654297
16,19,0.3437774181365967
1,20,0.046878814697265625
2,20,0.04687762260437012
3,20,0.06250524520874023
4,20,0.09387445449829102
5,20,0.09364533424377441
6,20,0.12500429153442383
7,20,0.20314884185791016
8,20,0.15626096725463867
9,20,0.17194294929504395
10,20,0.20308566093444824
11,20,0.23438644409179688
12,20,0.26564788818359375
13,20,0.26564908027648926
14,20,0.281268835067749
15,20,0.34337544441223145
16,20,0.28167033195495605
1,21,0.046480417251586914
2,21,0.04687857627868652
3,21,0.06250500679016113
4,21,0.07813096046447754
5,21,0.09416055679321289
6,21,0.10937952995300293
7,21,0.1250157356262207
8,21,0.14063000679016113
9,21,0.1875143051147461
10,21,0.20314359664916992
11,21,0.2187635898590088
12,21,0.23439359664916992
13,21,0.2812771797180176
14,21,0.2812671661376953
15,21,0.31252408027648926
16,21,0.29691529273986816
1,22,0.04645419120788574
2,22,0.06250452995300293
3,22,0.06250476837158203
4,22,0.09375739097595215
5,22,0.10938334465026855
6,22,0.12501001358032227
7,22,0.12542295455932617
8,22,0.18750786781311035
9,22,0.1718900203704834
10,22,0.1875760555267334
11,22,0.2030808925628662
12,22,0.281268835067749
13,22,0.28127312660217285
14,22,0.28139662742614746
15,22,0.31240248680114746
16,22,0.3437767028808594
1,23,0.04646801948547363
2,23,0.04687857627868652
3,23,0.06250476837158203
4,23,0.07813143730163574
5,23,0.09375691413879395
6,23,0.12500977516174316
7,23,0.14063596725463867
8,23,0.17189693450927734
9,23,0.1875145435333252
10,23,0.1875145435333252
11,23,0.1875145435333252
12,23,0.2504236698150635
13,23,0.2652416229248047
14,23,0.26564598083496094
15,23,0.3441746234893799
16,23,0.3281543254852295
1,24,0.0777289867401123
2,24,0.09374880790710449
3,24,0.07813119888305664
4,24,0.09375715255737305
5,24,0.09375739097595215
6,24,0.14063596725463867
7,24,0.12500953674316406
8,24,0.15626239776611328
9,24,0.1718883514404297
10,24,0.1875145435333252
11,24,0.25001955032348633
12,24,0.2187669277191162
13,24,0.26564574241638184
14,24,0.28127193450927734
15,24,0.29689812660217285
16,24,0.26564574241638184
1,25,0.0781397819519043
2,25,0.14062738418579102
3,25,0.14063572883605957
4,25,0.15626192092895508
5,25,0.14063596725463867
6,25,0.1875147819519043
7,25,0.1875145435333252
8,25,0.1875145435333252
9,25,0.1718883514404297
10,25,0.2187671661376953
11,25,0.1875145435333252
12,25,0.2031407356262207
13,25,0.28127193450927734
14,25,0.26564574241638184
15,25,0.28127193450927734
16,25,0.29689812660217285
1,26,0.15626192092895508
2,26,0.1875147819519043
3,26,0.1875147819519043
4,26,0.2031407356262207
5,26,0.23439240455627441
6,26,0.23439383506774902
7,26,0.23439335823059082
8,26,0.26564574241638184
9,26,0.2500190734863281
10,26,0.26564598083496094
11,26,0.29689812660217285
12,26,0.3437767028808594
13,26,0.32815051078796387
14,26,0.29689812660217285
15,26,0.46878671646118164
16,26,0.32815027236938477
1,27,0.2812807559967041
2,27,0.3281416893005371
3,27,0.32815051078796387
4,27,0.32815074920654297
5,27,0.3594026565551758
6,27,0.3594033718109131
7,27,0.3594026565551758
8,27,0.3906557559967041
9,27,0.3750288486480713
10,27,0.421907901763916
11,27,0.4062817096710205
12,27,0.4062819480895996
13,27,0.45315980911254883
14,27,0.5000391006469727
15,27,0.3906552791595459
16,27,0.46878647804260254
1,28,0.546917200088501
2,28,0.5937967300415039
3,28,0.6094222068786621
4,28,0.6250486373901367
5,28,0.6406750679016113
6,28,0.6406748294830322
7,28,0.6094224452972412
8,28,0.6563010215759277
9,28,0.6563014984130859
10,28,0.6875531673431396
11,28,0.7188060283660889
12,28,0.7344319820404053
13,28,0.6563012599945068
14,28,0.7031795978546143
15,28,0.7188060283660889
16,28,0.7500584125518799
1,29,1.0782086849212646
2,29,1.1876013278961182
3,29,1.1563401222229004
4,29,1.1563310623168945
5,29,1.203218698501587
6,29,1.1875925064086914
7,29,1.2188446521759033
8,29,1.203218936920166
9,29,1.2500970363616943
10,29,1.234471321105957
11,29,1.265723466873169
12,29,1.2813496589660645
13,29,1.296976089477539
14,29,1.2813494205474854
15,29,1.2188451290130615
16,29,1.328228235244751
1,30,2.1564266681671143
2,30,2.281418800354004
3,30,2.2501747608184814
4,30,2.3283064365386963
5,30,2.2970540523529053
6,30,2.3126800060272217
7,30,2.3126795291900635
8,30,2.343932867050171
9,30,2.359567642211914
10,30,2.375175952911377
11,30,2.390810966491699
12,30,2.3908114433288574
13,30,2.359557867050171
14,30,2.406437873840332
15,30,2.437689781188965
16,30,2.406437397003174
1,31,4.20345139503479
2,31,4.578481674194336
3,31,4.48473334312439
4,31,4.54721999168396
5,31,4.594107389450073
6,31,4.562864065170288
7,31,5.062885284423828
8,31,4.578490257263184
9,31,4.640977382659912
10,31,4.594107627868652
11,31,4.656612396240234
12,31,4.937883615493774
13,31,4.625369548797607
14,31,4.92224907875061
15,31,4.625360012054443
16,31,4.687864780426025
1,32,8.42253065109253
2,32,9.110092639923096
3,32,9.063196659088135
4,32,9.047578811645508
5,32,9.141337394714355
6,32,9.156971454620361
7,32,9.094448566436768
8,32,9.969526290893555
9,32,9.172597885131836
10,32,9.15695333480835
11,32,9.203850269317627
12,32,9.219458818435669
13,32,9.110093355178833
14,32,9.2038414478302
15,32,9.25071120262146
16,32,9.297598600387573
